,VehicleId,PolicyActivityId,PolicyNumber,VinMasterId,Vin,Manufacturer,Model,ModelYear,SeatingCapacity,VehicleTypeCode,VehicleSlno,VehicleEffectiveDate,VehicleExpirationDate,RegistrationState,RegPlateNo,BumperDiscountInd,DamagiabilityInd,DrlInd,EngineType,UnrepairedDamageInd,CarpoolInd,NewVehicleInd,NonOwnedVehicleInd,PrincOperInd,TractionCtrlInd,PhysicalDamageInd,VehicleLength,MaxSpeed,OrigCost,MedallionNo,VehiclePerformance,FullGlassProtection,GvwCode,Odometer,VehicleAge,VehicleActivityCode,OldVehicleId,VehicleVersion,AnnualMilage,PrimaryDriver,SecondaryDriver,IsActive,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,EncryptedVin,VehicleActualCost,InspectionDate,InspectionStatus,VehicleCondition,InspectionDueDate,DocumentReceivedDate,InspectionRequired,InspectionNumber,CertificateHolderCity
427,615,Q0000170,,,XXXXXXXXXXX414333,27.0,123.0,2019.0,0.0,,26.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAADh6eJcGmXBmQdUuUNfYsR94NhbLaxNJHh8d9NSRWB9LRjJqEC7sZxozLfOgfeusSs=,0.0,,,,1900-01-01,1900-01-01,True,,
428,616,Q0000170,,,XXXXXXXXXXX414332,27.0,123.0,2019.0,0.0,,27.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAA0PCIJlcxGAcNW/iYt90AYGdEVELNCAtMLVRwppMerSdkwP8cqlYQHo1i6KeC8pP0=,0.0,,,,1900-01-01,1900-01-01,True,,
429,617,Q0000170,,,XXXXXXXXXXX863105,31.0,180.0,2018.0,0.0,,28.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,3.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAABD3dG4GknF2hHFke/pUB+J/7dUVL1UPfky1H3vP/9l+tIRLyQwRYByVThCpQARcTA=,0.0,,,,1900-01-01,1900-01-01,True,,
430,618,Q0000170,,,XXXXXXXXXXX872155,31.0,180.0,2018.0,0.0,,29.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,3.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAACmu723wkmJiNWghHbjJiTPoEa56LTvAFxb0IJutZ/5wYsT/htvagcaGGYBjPS/ZU=,0.0,,,,1900-01-01,1900-01-01,True,,
431,619,Q0000170,,,XXXXXXXXXXX130608,27.0,104.0,2019.0,0.0,,30.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAABlmNYWNDVnRG4YXfKSeglp6SbhJGdP9e6Gcbaw7IwxoXs17Goc1ZKrIX3Zev4BemM=,0.0,,,,1900-01-01,1900-01-01,True,,
432,620,Q0000170,,,XXXXXXXXXXX143956,27.0,104.0,2019.0,0.0,,31.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAADGC6vW5dN6jK7m7NzlSfZeTXqU3xtVrRv7JdUtke0V7Wx6b110cv655pcDmEenbj0=,0.0,,,,1900-01-01,1900-01-01,True,,
433,621,Q0000170,,,XXXXXXXXXXX106757,27.0,104.0,2019.0,0.0,,32.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,2.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAABCweeIHq2pdbXTAqYbDOsCTBzIRm7GleWGDia1I2AArc6vVGB2qo6OEMNYtAT0PSE=,0.0,,,,1900-01-01,1900-01-01,True,,
434,622,Q0000204,,,XXXXXXXXXXXL58987,63.0,,2013.0,0.0,,6.0,2020-10-22,2021-07-02,43.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,8.0,REP,602.0,,,,,True,Administrator,2021-04-22 05:19:38.393,RSHUKLA,2021-06-21 11:47:13.493,ADsi5zZ3ky9yGUI/J3JWaAIAAADrEuK7ngeUKh5+eeSbB7EXEnlC1eXa/HLKKjw6pA6i/qdjfgcZa6EgDYvX5XSGqak=,0.0,,,,1900-01-01,1900-01-01,True,,
435,623,Q0000170,,,XXXXXXXXXXX874239,31.0,180.0,2018.0,0.0,,33.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,3.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAAKvki+EON0k0tQPhcMvx4rT9tVUqgpYDJW8H2E0zsHlxD7dSRiTkMxfGtSBktAb4I=,0.0,,,,1900-01-01,1900-01-01,True,,
436,624,Q0000170,,,XXXXXXXXXXX873901,31.0,180.0,2018.0,0.0,,34.0,2020-10-25,2021-10-16,42.0,,False,False,False,,False,False,False,False,False,False,False,,,,,,False,,,3.0,EDIT,,,,,,True,Administrator,2021-04-22 05:59:31.607,RSHUKLA,2021-09-17 12:59:23.480,ADsi5zZ3ky9yGUI/J3JWaAIAAAAPWHBmlgBjiQ3hPh89j5Eds5lj9ap87P7giausDds8jJ9thIkl3eUH+ItC9QplS3A=,0.0,,,,1900-01-01,1900-01-01,True,,
