,SId,PolicyActivityId,PolicyNumber,DriverId,EffectiveDate,ExpirationDate,TransactionDate,OldDriverId,DriverActivityCode,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
9923,20230125000003324,Q0001093,22NJN00255,7257,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9924,20230125000003324,Q0001093,22NJN00255,7258,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9925,20230125000003324,Q0001093,22NJN00255,7259,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9926,20230125000003324,Q0001093,22NJN00255,7260,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9927,20230125000003324,Q0001093,22NJN00255,7261,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9928,20230125000003324,Q0001093,22NJN00255,7262,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9929,20230125000003324,Q0001093,22NJN00255,7263,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9930,20230125000003324,Q0001093,22NJN00255,7264,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9931,20230125000003324,Q0001093,22NJN00255,7265,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9932,20230125000003324,Q0001093,22NJN00255,7266,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9933,20230125000003324,Q0001093,22NJN00255,7267,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9934,20230125000003324,Q0001093,22NJN00255,7268,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9935,20230125000003324,Q0001093,22NJN00255,7269,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9936,20230125000003324,Q0001093,22NJN00255,7270,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9937,20230125000003324,Q0001093,22NJN00255,7271,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9938,20230125000003324,Q0001093,22NJN00255,7272,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9939,20230125000003324,Q0001093,22NJN00255,7273,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9940,20230125000003324,Q0001093,22NJN00255,7274,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9941,20230125000003324,Q0001093,22NJN00255,7275,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9942,20230125000003324,Q0001093,22NJN00255,7276,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9943,20230125000003324,Q0001093,22NJN00255,7277,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9944,20230125000003324,Q0001093,22NJN00255,7278,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9945,20230125000003324,Q0001093,22NJN00255,7279,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9946,20230125000003324,Q0001093,22NJN00255,7280,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9947,20230125000003324,Q0001093,22NJN00255,7281,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9948,20230125000003324,Q0001093,22NJN00255,7282,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9949,20230125000003324,Q0001093,22NJN00255,7283,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9950,20230125000003324,Q0001093,22NJN00255,7284,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9951,20230125000003324,Q0001093,22NJN00255,7285,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9952,20230125000003324,Q0001093,22NJN00255,7286,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9953,20230125000003324,Q0001093,22NJN00255,7287,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9954,20230125000003324,Q0001093,22NJN00255,7288,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9955,20230125000003324,Q0001093,22NJN00255,7289,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9956,20230125000003324,Q0001093,22NJN00255,7290,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9957,20230125000003324,Q0001093,22NJN00255,7291,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9958,20230125000003324,Q0001093,22NJN00255,7292,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9959,20230125000003324,Q0001093,22NJN00255,7293,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
