,SId,PolicyActivityID,PolicyNumber,EffectiveDate,TransactionCode,EndorsementReason,EndorsementRemarks,ProcessDate,ProrateFactor,WrittenPremium,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
435,20210507000023438,Q0000317,21PAL00076,2021-03-17 00:00:00,NBS,NBS,New Business,2021-05-07 00:00:00.000,1.0,20000.0,Administrator,2021-05-07 02:47:27.227,Administrator,2021-05-07 02:47:27.227
436,20210507000023446,Q0000317,21PAL00076,2021-03-17 00:00:00,END,MULTIPLE ENDORSEMENT,Add Drivers,2021-03-17 00:00:00.000,1.0,0.0,Administrator,2021-05-07 02:51:15.357,Administrator,2021-05-07 02:51:15.357
437,20210507000023449,Q0000317,21PAL00076,2021-03-23 00:00:00,END,MULTIPLE ENDORSEMENT,Delete Driver,2021-03-23 00:00:00.000,0.983562,0.0,Administrator,2021-05-07 02:56:00.470,Administrator,2021-05-07 02:56:00.470
438,20210507000023454,Q0000317,21PAL00076,2021-04-05 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-05 00:00:00.000,0.947945,0.0,Administrator,2021-05-07 02:59:25.390,Administrator,2021-05-07 02:59:25.390
439,20210507000023459,Q0000317,21PAL00076,2021-04-12 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-12 00:00:00.000,0.928767,0.0,Administrator,2021-05-07 03:10:53.273,Administrator,2021-05-07 03:10:53.273
440,20210507000023464,Q0000317,21PAL00076,2021-04-21 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-21 00:00:00.000,0.90411,0.0,Administrator,2021-05-07 03:16:38.380,Administrator,2021-05-07 03:16:38.380
441,20210507000023487,Q0000318,21ORT00082,2021-04-14 00:00:00,NBS,NBS,New Business,2021-05-07 00:00:00.000,1.0,14328.0,Administrator,2021-05-07 06:08:35.723,Administrator,2021-05-07 06:08:35.723
442,20210507000023495,Q0000318,21ORT00082,2021-04-19 00:00:00,END,MULTIPLE ENDORSEMENT,Add Drivers,2021-04-19 00:00:00.000,0.986301,0.0,Administrator,2021-05-07 06:20:25.740,Administrator,2021-05-07 06:20:25.740
443,20210507000023501,Q0000318,21ORT00082,2021-04-21 00:00:00,END,MULTIPLE ENDORSEMENT,Replace Vehicle,2021-04-21 00:00:00.000,0.980822,0.0,Administrator,2021-05-07 06:25:20.550,Administrator,2021-05-07 06:25:20.550
444,20210507000023506,Q0000318,21ORT00082,2021-04-21 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-21 00:00:00.000,0.980822,0.0,Administrator,2021-05-07 06:45:06.710,Administrator,2021-05-07 06:45:06.710
445,20210507000023512,Q0000318,21ORT00082,2021-04-26 00:00:00,END,MULTIPLE ENDORSEMENT,Replace Vehicle,2021-04-26 00:00:00.000,0.967123,0.0,Administrator,2021-05-07 06:53:45.050,Administrator,2021-05-07 06:53:45.050
446,20210507000023517,Q0000318,21ORT00082,2021-04-21 00:00:00,END,MULTIPLE ENDORSEMENT,Add Drivers,2021-04-21 00:00:00.000,0.980822,0.0,Administrator,2021-05-07 06:58:01.583,Administrator,2021-05-07 06:58:01.583
447,20210507000023520,Q0000255,20PAT00063,2020-12-14 00:00:00,CAN,,,2020-12-14 00:00:00.000,0.0,-47199.89,Administrator,2021-05-07 07:27:31.190,Administrator,2021-05-07 07:27:31.190
448,20210507000023549,Q0000320,20PAT00063,2020-12-14 00:00:00,NBS,NBS,New Business,2021-05-07 00:00:00.000,1.0,47200.0,Administrator,2021-05-07 07:32:27.413,Administrator,2021-05-07 07:32:27.413
449,20210507000023557,Q0000320,20PAT00063,2020-12-14 00:00:00,END,MULTIPLE ENDORSEMENT,Add driver,2020-12-14 00:00:00.000,1.0,0.0,Administrator,2021-05-07 07:41:27.977,Administrator,2021-05-07 07:41:27.977
450,20210507000023569,Q0000319,21NJN00142,2021-04-23 00:00:00,NBS,NBS,New Business,2021-05-07 00:00:00.000,1.0,8600.0,Administrator,2021-05-07 08:07:02.193,Administrator,2021-05-07 08:07:02.193
451,20210507000023575,Q0000320,20PAT00063,2020-12-14 00:00:00,END,MULTIPLE ENDORSEMENT,Delete Driver,2020-12-14 00:00:00.000,1.0,0.0,Administrator,2021-05-07 08:36:23.190,Administrator,2021-05-07 08:36:23.190
452,20210507000023580,Q0000320,20PAT00063,2021-01-19 00:00:00,END,MULTIPLE ENDORSEMENT,Add driver,2021-01-19 00:00:00.000,0.90137,0.0,Administrator,2021-05-07 08:43:15.420,Administrator,2021-05-07 08:43:15.420
453,20210507000023583,Q0000320,20PAT00063,2021-02-16 00:00:00,END,MULTIPLE ENDORSEMENT,Delete Driver,2021-02-16 00:00:00.000,0.824658,0.0,Administrator,2021-05-07 08:47:43.130,Administrator,2021-05-07 08:47:43.130
454,20210507000023588,Q0000320,20PAT00063,2021-02-23 00:00:00,END,MULTIPLE ENDORSEMENT,Add driver,2021-02-23 00:00:00.000,0.805479,0.0,Administrator,2021-05-07 08:52:37.840,Administrator,2021-05-07 08:52:37.840
455,20210507000023594,Q0000320,20PAT00063,2021-02-11 00:00:00,END,MULTIPLE ENDORSEMENT,replace vehicle,2021-02-11 00:00:00.000,0.838356,-0.01,Administrator,2021-05-07 08:59:43.540,Administrator,2021-05-07 08:59:43.540
456,20210507000023600,Q0000320,20PAT00063,2021-03-01 00:00:00,END,MULTIPLE ENDORSEMENT,Replace vehicle,2021-03-01 00:00:00.000,0.789041,0.0,Administrator,2021-05-07 09:04:21.317,Administrator,2021-05-07 09:04:21.317
457,20210507000023603,Q0000320,20PAT00063,2021-03-05 00:00:00,END,MULTIPLE ENDORSEMENT,Amend Insured,2021-03-05 00:00:00.000,0.778082,0.0,Administrator,2021-05-07 09:10:23.017,Administrator,2021-05-07 09:10:23.017
458,20210507000023609,Q0000320,20PAT00063,2021-03-18 00:00:00,END,MULTIPLE ENDORSEMENT,Replace Vehicle,2021-03-18 00:00:00.000,0.742466,-0.01,Administrator,2021-05-07 09:14:57.143,Administrator,2021-05-07 09:14:57.143
459,20210507000023612,Q0000320,20PAT00063,2021-04-06 00:00:00,END,MULTIPLE ENDORSEMENT,Delete driver,2021-04-06 00:00:00.000,0.690411,0.0,Administrator,2021-05-07 09:17:36.380,Administrator,2021-05-07 09:17:36.380
460,20210507000023617,Q0000320,20PAT00063,2021-04-19 00:00:00,END,MULTIPLE ENDORSEMENT,Add driver,2021-04-19 00:00:00.000,0.654795,0.0,Administrator,2021-05-07 09:22:28.053,Administrator,2021-05-07 09:22:28.053
461,20210507000023623,Q0000320,20PAT00063,2021-04-27 00:00:00,END,MULTIPLE ENDORSEMENT,Replace Vehicle,2021-04-27 00:00:00.000,0.632877,-0.01,Administrator,2021-05-07 09:27:09.820,Administrator,2021-05-07 09:27:09.820
462,20210507000023627,Q0000182,20PAT00083,2021-04-27 00:00:00,END,MULTIPLE ENDORSEMENT,Delete Driver,2021-04-27 00:00:00.000,0.052055,0.0,Administrator,2021-05-07 15:26:05.640,Administrator,2021-05-07 15:26:05.640
463,20210510000023635,Q0000111,21NJN00119,2021-04-30 00:00:00,END,MULTIPLE ENDORSEMENT,"Add Wheelchair Vehicle with Lift
",2021-04-30 00:00:00.000,0.70411,9030.87,Administrator,2021-05-10 16:54:03.467,Administrator,2021-05-10 16:54:03.467
464,20210511000023675,Q0000203,20NJL00107,2021-04-23 00:00:00,END,MULTIPLE ENDORSEMENT,Add Car Endorsements Reversing with Delete Cadr,2021-04-23 00:00:00.000,0.386301,-2993.83,Administrator,2021-05-11 16:22:36.180,Administrator,2021-05-11 16:22:36.180
465,20210511000023679,Q0000325,21CAL00149,2021-05-11 00:00:00,NBS,NBS,New Business,2021-05-11 00:00:00.000,1.0,5582.0,Administrator,2021-05-11 17:24:10.860,Administrator,2021-05-11 17:24:10.860
466,20210512000023696,Q0000101,21NJT00129 ,2021-04-30 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-30 00:00:00.000,0.835616,0.0,Administrator,2021-05-12 17:51:17.717,Administrator,2021-05-12 17:51:17.717
467,20210512000023702,Q0000101,21NJT00129 ,2021-04-30 00:00:00,END,MULTIPLE ENDORSEMENT,"Add Vehicle
",2021-04-30 00:00:00.000,0.835616,3695.09,Administrator,2021-05-12 17:53:42.733,Administrator,2021-05-12 17:53:42.733
468,20210513000023709,Q0000170,20CAT00112 ,2021-02-24 00:00:00,END,MULTIPLE ENDORSEMENT,Add Vehicle,2021-05-13 07:01:50.543,0.0,2836.84,Administrator,2021-05-13 07:01:50.543,Administrator,2021-05-13 07:01:50.543
469,20210513000023722,Q0000327,21NJN00148,2021-05-11 00:00:00,NBS,NBS,New Business,2021-05-13 00:00:00.000,1.0,6853.0,Administrator,2021-05-13 08:05:23.803,Administrator,2021-05-13 08:05:23.803
470,20210513000023728,Q0000325,21CAL00149,2021-05-11 00:00:00,CAN,,,2021-05-11 00:00:00.000,0.0,-5582.0,Administrator,2021-05-13 08:07:58.613,Administrator,2021-05-13 08:07:58.613
471,20210513000023735,Q0000328,21CAL00149,2021-05-11 00:00:00,NBS,NBS,New Business,2021-05-13 00:00:00.000,1.0,5582.0,Administrator,2021-05-13 08:08:59.900,Administrator,2021-05-13 08:08:59.900
472,20210517000023787,Q0000331,21PAT00083,2021-05-16 00:00:00,NBS,NBS,New Business,2021-05-17 00:00:00.000,1.0,5358.0,Administrator,2021-05-17 08:12:41.490,Administrator,2021-05-17 08:12:41.490
473,20210517000023794,Q0000170,20CAT00112 ,2021-02-24 00:00:00,END,MULTIPLE ENDORSEMENT,Delete Duplicate Vehicle,2021-05-17 15:03:22.167,0.0,-2836.84,Administrator,2021-05-17 15:03:22.167,Administrator,2021-05-17 15:03:22.167
474,20210517000023798,Q0000170,20CAT00112 ,2021-04-28 00:00:00,END,MULTIPLE ENDORSEMENT,Remove vehicle from policy,2021-05-17 16:48:10.433,0.0,-2073.23,Administrator,2021-05-17 16:48:10.433,Administrator,2021-05-17 16:48:10.433
475,20210517000023805,Q0000170,20CAT00112 ,2021-04-21 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-05-17 17:10:37.390,0.0,0.0,Administrator,2021-05-17 17:10:37.390,Administrator,2021-05-17 17:10:37.390
476,20210517000023812,Q0000170,20CAT00112 ,2021-04-23 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-05-17 17:26:33.530,0.0,0.0,Administrator,2021-05-17 17:26:33.530,Administrator,2021-05-17 17:26:33.530
477,20210517000023819,Q0000170,20CAT00112 ,2021-04-29 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-05-17 17:42:21.297,0.0,0.0,Administrator,2021-05-17 17:42:21.297,Administrator,2021-05-17 17:42:21.297
478,20210517000023829,Q0000170,20CAT00112 ,2021-04-28 00:00:00,END,MULTIPLE ENDORSEMENT,"Add Driver
",2021-05-17 17:54:48.153,0.0,0.0,Administrator,2021-05-17 17:54:48.153,Administrator,2021-05-17 17:54:48.153
479,20210518000023836,Q0000331,21PAT00083,2021-05-16 00:00:00,CAN,,,2021-05-16 00:00:00.000,0.0,-5358.0,Administrator,2021-05-18 06:18:24.177,Administrator,2021-05-18 06:18:24.177
480,20210518000023843,Q0000336,21PAT00083,2021-05-16 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,5358.0,Administrator,2021-05-18 06:21:32.653,Administrator,2021-05-18 06:21:32.653
481,20210518000023849,Q0000336,21PAT00083,2021-05-16 00:00:00,CAN,,,2021-05-16 00:00:00.000,0.0,-5358.0,Administrator,2021-05-18 06:30:41.720,Administrator,2021-05-18 06:30:41.720
482,20210518000023865,Q0000337,21PAT00083,2021-05-16 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,5358.0,Administrator,2021-05-18 06:37:44.180,Administrator,2021-05-18 06:37:44.180
483,20210518000023867,Q0000337,21PAT00083,2021-05-16 00:00:00,CAN,,,2021-05-16 00:00:00.000,0.0,-5358.0,Administrator,2021-05-18 06:38:26.493,Administrator,2021-05-18 06:38:26.493
484,20210518000023873,Q0000338,21PAT00083,2021-05-16 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,5358.0,Administrator,2021-05-18 06:39:24.603,Administrator,2021-05-18 06:39:24.603
485,20210518000023883,Q0000329,21NJT00150,2021-05-16 00:00:00,NBS,NBS,New Business,2021-05-18 00:00:00.000,1.0,5000.0,RSHUKLA,2021-05-18 11:28:14.237,RSHUKLA,2021-05-18 11:28:14.237
